IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.78.119,4,4,0.00,228.02,5.04
104.24.28.154,4,4,0.00,228.43,3.65
104.20.96.218,4,4,0.00,228.39,3.52
104.22.49.234,4,4,0.00,227.74,3.40
104.24.73.193,4,4,0.00,228.16,3.34
104.22.3.225,4,4,0.00,209.41,3.28
104.24.1.36,4,4,0.00,214.49,3.28
104.19.79.6,4,4,0.00,222.24,2.97
104.20.45.57,4,4,0.00,227.67,2.95
162.159.194.65,4,4,0.00,206.83,2.80
104.19.14.20,4,4,0.00,221.59,2.62
104.20.110.190,4,4,0.00,221.56,2.50
104.23.109.110,4,4,0.00,228.13,2.45
162.159.134.12,4,4,0.00,169.25,2.44
162.159.198.21,4,4,0.00,205.94,2.35
104.23.104.184,4,4,0.00,216.47,2.22
104.24.138.234,4,4,0.00,217.18,2.20
104.18.21.171,4,4,0.00,227.64,2.16
172.64.40.183,4,4,0.00,222.71,2.08
172.64.53.210,4,4,0.00,215.06,2.04
